pad rx ry rz vx vy vz ax ay az 
0.000000000 0.000000000 0.000000000 2.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000
0.000000000 0.000429630 0.000429630 1.998711111 0.012740741 0.012740741 -0.038222222 0.248888889 0.248888889 -0.746666667
0.000000000 0.003318519 0.003318519 1.990044444 0.048592593 0.048592593 -0.145777778 0.462222222 0.462222222 -1.386666667
0.000000000 0.010800000 0.010800000 1.967600000 0.104000000 0.104000000 -0.312000000 0.640000000 0.640000000 -1.920000000
0.000000000 0.024651852 0.024651852 1.926044444 0.175407407 0.175407407 -0.526222222 0.782222222 0.782222222 -2.346666667
0.000000000 0.046296296 0.046296296 1.861111111 0.259259259 0.259259259 -0.777777778 0.888888889 0.888888889 -2.666666667
0.000000000 0.076800000 0.076800000 1.769600000 0.352000000 0.352000000 -1.056000000 0.960000000 0.960000000 -2.880000000
0.000000000 0.116874074 0.116874074 1.649377778 0.450074074 0.450074074 -1.350222222 0.995555556 0.995555556 -2.986666667
0.000000000 0.166874074 0.166874074 1.499377778 0.549925926 0.549925926 -1.649777778 0.995555556 0.995555556 -2.986666667
0.000000000 0.226800000 0.226800000 1.319600000 0.648000000 0.648000000 -1.944000000 0.960000000 0.960000000 -2.880000000
0.000000000 0.296296296 0.296296296 1.111111111 0.740740741 0.740740741 -2.222222222 0.888888889 0.888888889 -2.666666667
0.000000000 0.374651852 0.374651852 0.876044444 0.824592593 0.824592593 -2.473777778 0.782222222 0.782222222 -2.346666667
0.000000000 0.460800000 0.460800000 0.617600000 0.896000000 0.896000000 -2.688000000 0.640000000 0.640000000 -1.920000000
0.000000000 0.553318519 0.553318519 0.340044444 0.951407407 0.951407407 -2.854222222 0.462222222 0.462222222 -1.386666667
0.000000000 0.650429630 0.650429630 0.048711111 0.987259259 0.987259259 -2.961777778 0.248888889 0.248888889 -0.746666667
0.000000000 0.750000000 0.750000000 -0.250000000 1.000000000 1.000000000 -3.000000000 0.000000000 0.000000000 0.000000000
0.000000000 0.849570370 0.849570370 -0.548711111 0.987259259 0.987259259 -2.961777778 -0.248888889 -0.248888889 0.746666667
0.000000000 0.946681481 0.946681481 -0.840044444 0.951407407 0.951407407 -2.854222222 -0.462222222 -0.462222222 1.386666667
0.000000000 1.039200000 1.039200000 -1.117600000 0.896000000 0.896000000 -2.688000000 -0.640000000 -0.640000000 1.920000000
0.000000000 1.125348148 1.125348148 -1.376044444 0.824592593 0.824592593 -2.473777778 -0.782222222 -0.782222222 2.346666667
0.000000000 1.203703704 1.203703704 -1.611111111 0.740740741 0.740740741 -2.222222222 -0.888888889 -0.888888889 2.666666667
0.000000000 1.273200000 1.273200000 -1.819600000 0.648000000 0.648000000 -1.944000000 -0.960000000 -0.960000000 2.880000000
0.000000000 1.333125926 1.333125926 -1.999377778 0.549925926 0.549925926 -1.649777778 -0.995555556 -0.995555556 2.986666667
0.000000000 1.383125926 1.383125926 -2.149377778 0.450074074 0.450074074 -1.350222222 -0.995555556 -0.995555556 2.986666667
0.000000000 1.423200000 1.423200000 -2.269600000 0.352000000 0.352000000 -1.056000000 -0.960000000 -0.960000000 2.880000000
0.000000000 1.453703704 1.453703704 -2.361111111 0.259259259 0.259259259 -0.777777778 -0.888888889 -0.888888889 2.666666667
0.000000000 1.475348148 1.475348148 -2.426044444 0.175407407 0.175407407 -0.526222222 -0.782222222 -0.782222222 2.346666667
0.000000000 1.489200000 1.489200000 -2.467600000 0.104000000 0.104000000 -0.312000000 -0.640000000 -0.640000000 1.920000000
0.000000000 1.496681481 1.496681481 -2.490044444 0.048592593 0.048592593 -0.145777778 -0.462222222 -0.462222222 1.386666667
0.000000000 1.499570370 1.499570370 -2.498711111 0.012740741 0.012740741 -0.038222222 -0.248888889 -0.248888889 0.746666667
0.000000000 1.500000000 1.500000000 -2.500000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000 0.000000000
